chrom	length	bases	mean	min	max
scaffold_1	2175785	268920900	123.60	0	3216
scaffold_1_region	2175785	268920900	123.60	0	3216
scaffold_2	1611863	183416556	113.79	0	853
scaffold_2_region	1611863	183416556	113.79	0	853
scaffold_3	1471132	177805988	120.86	0	894
scaffold_3_region	1471132	177805988	120.86	0	894
scaffold_4	1468900	167365094	113.94	0	866
scaffold_4_region	1468900	167365094	113.94	0	866
scaffold_5	1396382	154316429	110.51	0	1235
scaffold_5_region	1396382	154316429	110.51	0	1235
scaffold_6	1286126	146291215	113.75	0	29943
scaffold_6_region	1286126	146291215	113.75	0	29943
scaffold_7	1265705	156673126	123.78	0	1538
scaffold_7_region	1265705	156673126	123.78	0	1538
scaffold_8	1247722	160221644	128.41	0	1571
scaffold_8_region	1247722	160221644	128.41	0	1571
scaffold_9	1034445	112602827	108.85	0	1004
scaffold_9_region	1034445	112602827	108.85	0	1004
scaffold_10	987275	112081341	113.53	0	1814
scaffold_10_region	987275	112081341	113.53	0	1814
scaffold_11	955579	105178659	110.07	0	3143
scaffold_11_region	955579	105178659	110.07	0	3143
scaffold_12	827188	92640668	111.99	0	474
scaffold_12_region	827188	92640668	111.99	0	474
scaffold_13	811507	99728701	122.89	0	473
scaffold_13_region	811507	99728701	122.89	0	473
scaffold_14	764887	87676086	114.63	0	2069
scaffold_14_region	764887	87676086	114.63	0	2069
scaffold_15	699649	77533203	110.82	0	2665
scaffold_15_region	699649	77533203	110.82	0	2665
scaffold_16	665637	61244573	92.01	0	1098
scaffold_16_region	665637	61244573	92.01	0	1098
scaffold_17	654850	81465241	124.40	0	514
scaffold_17_region	654850	81465241	124.40	0	514
scaffold_18	642743	73754269	114.75	0	10246
scaffold_18_region	642743	73754269	114.75	0	10246
scaffold_19	278999	31025758	111.20	0	675
scaffold_19_region	278999	31025758	111.20	0	675
scaffold_20	105456	23965958	227.26	0	485
scaffold_20_region	105456	23965958	227.26	0	485
scaffold_21	87937	115351228	1311.75	0	3532
scaffold_21_region	87937	115351228	1311.75	0	3532
scaffold_22	56127	16250319	289.53	0	460
scaffold_22_region	56127	16250319	289.53	0	460
scaffold_23	53108	15869112	298.81	0	2266
scaffold_23_region	53108	15869112	298.81	0	2266
total	20549002	2521378895	122.70	0	29943
total_region	20549002	2521378895	122.70	0	29943
