chrom	length	bases	mean	min	max
scaffold_1	2175785	95390525	43.84	0	171
scaffold_1_region	2175785	95390525	43.84	0	171
scaffold_2	1611863	68210237	42.32	0	244
scaffold_2_region	1611863	68210237	42.32	0	244
scaffold_3	1471132	67060572	45.58	0	949
scaffold_3_region	1471132	67060572	45.58	0	949
scaffold_4	1468900	63713114	43.37	0	621
scaffold_4_region	1468900	63713114	43.37	0	621
scaffold_5	1396382	59413950	42.55	0	256
scaffold_5_region	1396382	59413950	42.55	0	256
scaffold_6	1286126	56367224	43.83	0	14311
scaffold_6_region	1286126	56367224	43.83	0	14311
scaffold_7	1265705	55339336	43.72	0	441
scaffold_7_region	1265705	55339336	43.72	0	441
scaffold_8	1247722	53470510	42.85	0	182
scaffold_8_region	1247722	53470510	42.85	0	182
scaffold_9	1034445	44185120	42.71	0	256
scaffold_9_region	1034445	44185120	42.71	0	256
scaffold_10	987275	44520898	45.09	0	282
scaffold_10_region	987275	44520898	45.09	0	282
scaffold_11	955579	40940786	42.84	0	1703
scaffold_11_region	955579	40940786	42.84	0	1703
scaffold_12	827188	37943869	45.87	0	119
scaffold_12_region	827188	37943869	45.87	0	119
scaffold_13	811507	36012159	44.38	0	177
scaffold_13_region	811507	36012159	44.38	0	177
scaffold_14	764887	32955677	43.09	0	412
scaffold_14_region	764887	32955677	43.09	0	412
scaffold_15	699649	30904904	44.17	0	190
scaffold_15_region	699649	30904904	44.17	0	190
scaffold_16	665637	30451756	45.75	0	872
scaffold_16_region	665637	30451756	45.75	0	872
scaffold_17	654850	29225366	44.63	0	165
scaffold_17_region	654850	29225366	44.63	0	165
scaffold_18	642743	28226511	43.92	0	3834
scaffold_18_region	642743	28226511	43.92	0	3834
scaffold_19	278999	12018986	43.08	0	109
scaffold_19_region	278999	12018986	43.08	0	109
scaffold_20	105456	14981758	142.07	0	434
scaffold_20_region	105456	14981758	142.07	0	434
scaffold_21	87937	120854174	1374.33	0	2642
scaffold_21_region	87937	120854174	1374.33	0	2642
scaffold_22	56127	10250772	182.64	0	402
scaffold_22_region	56127	10250772	182.64	0	402
scaffold_23	53108	10389375	195.63	0	1966
scaffold_23_region	53108	10389375	195.63	0	1966
total	20549002	1042827579	50.75	0	14311
total_region	20549002	1042827579	50.75	0	14311
