chrom	length	bases	mean	min	max
scaffold_1	2175785	97655081	44.88	0	171
scaffold_1_region	2175785	97655081	44.88	0	171
scaffold_2	1611863	68001428	42.19	0	170
scaffold_2_region	1611863	68001428	42.19	0	170
scaffold_3	1471132	64119844	43.59	0	484
scaffold_3_region	1471132	64119844	43.59	0	484
scaffold_4	1468900	61429104	41.82	0	604
scaffold_4_region	1468900	61429104	41.82	0	604
scaffold_5	1396382	60590447	43.39	0	203
scaffold_5_region	1396382	60590447	43.39	0	203
scaffold_6	1286126	55646428	43.27	0	9681
scaffold_6_region	1286126	55646428	43.27	0	9681
scaffold_7	1265705	56733050	44.82	0	290
scaffold_7_region	1265705	56733050	44.82	0	290
scaffold_8	1247722	51429410	41.22	0	141
scaffold_8_region	1247722	51429410	41.22	0	141
scaffold_9	1034445	44045448	42.58	0	537
scaffold_9_region	1034445	44045448	42.58	0	537
scaffold_10	987275	43935895	44.50	0	468
scaffold_10_region	987275	43935895	44.50	0	468
scaffold_11	955579	40976907	42.88	0	1200
scaffold_11_region	955579	40976907	42.88	0	1200
scaffold_12	827188	36896872	44.61	0	110
scaffold_12_region	827188	36896872	44.61	0	110
scaffold_13	811507	37130271	45.75	0	172
scaffold_13_region	811507	37130271	45.75	0	172
scaffold_14	764887	32887966	43.00	0	440
scaffold_14_region	764887	32887966	43.00	0	440
scaffold_15	699649	28862927	41.25	0	564
scaffold_15_region	699649	28862927	41.25	0	564
scaffold_16	665637	27803889	41.77	0	401
scaffold_16_region	665637	27803889	41.77	0	401
scaffold_17	654850	28410076	43.38	0	126
scaffold_17_region	654850	28410076	43.38	0	126
scaffold_18	642743	27122733	42.20	0	4168
scaffold_18_region	642743	27122733	42.20	0	4168
scaffold_19	278999	11727805	42.04	0	215
scaffold_19_region	278999	11727805	42.04	0	215
scaffold_20	105456	11986541	113.66	0	251
scaffold_20_region	105456	11986541	113.66	0	251
scaffold_21	87937	68621788	780.35	0	1512
scaffold_21_region	87937	68621788	780.35	0	1512
scaffold_22	56127	8058875	143.58	0	237
scaffold_22_region	56127	8058875	143.58	0	237
scaffold_23	53108	7567234	142.49	0	1524
scaffold_23_region	53108	7567234	142.49	0	1524
total	20549002	971640019	47.28	0	9681
total_region	20549002	971640019	47.28	0	9681
