chrom	length	bases	mean	min	max
scaffold_1	2175785	43844598	20.15	0	128
scaffold_1_region	2175785	43844598	20.15	0	128
scaffold_2	1611863	31236573	19.38	0	186
scaffold_2_region	1611863	31236573	19.38	0	186
scaffold_3	1471132	30217698	20.54	0	431
scaffold_3_region	1471132	30217698	20.54	0	431
scaffold_4	1468900	29194513	19.88	0	296
scaffold_4_region	1468900	29194513	19.88	0	296
scaffold_5	1396382	27033700	19.36	0	88
scaffold_5_region	1396382	27033700	19.36	0	88
scaffold_6	1286126	25286986	19.66	0	4226
scaffold_6_region	1286126	25286986	19.66	0	4226
scaffold_7	1265705	25423534	20.09	0	850
scaffold_7_region	1265705	25423534	20.09	0	850
scaffold_8	1247722	24383579	19.54	0	84
scaffold_8_region	1247722	24383579	19.54	0	84
scaffold_9	1034445	20173546	19.50	0	83
scaffold_9_region	1034445	20173546	19.50	0	83
scaffold_10	987275	20301737	20.56	0	345
scaffold_10_region	987275	20301737	20.56	0	345
scaffold_11	955579	19226082	20.12	0	620
scaffold_11_region	955579	19226082	20.12	0	620
scaffold_12	827188	17146530	20.73	0	49
scaffold_12_region	827188	17146530	20.73	0	49
scaffold_13	811507	16470639	20.30	0	59
scaffold_13_region	811507	16470639	20.30	0	59
scaffold_14	764887	14982939	19.59	0	136
scaffold_14_region	764887	14982939	19.59	0	136
scaffold_15	699649	13848428	19.79	0	72
scaffold_15_region	699649	13848428	19.79	0	72
scaffold_16	665637	13173265	19.79	0	188
scaffold_16_region	665637	13173265	19.79	0	188
scaffold_17	654850	13092147	19.99	0	70
scaffold_17_region	654850	13092147	19.99	0	70
scaffold_18	642743	12753687	19.84	0	1201
scaffold_18_region	642743	12753687	19.84	0	1201
scaffold_19	278999	5502708	19.72	0	50
scaffold_19_region	278999	5502708	19.72	0	50
scaffold_20	105456	7808604	74.05	0	206
scaffold_20_region	105456	7808604	74.05	0	206
scaffold_21	87937	37506034	426.51	0	850
scaffold_21_region	87937	37506034	426.51	0	850
scaffold_22	56127	5325652	94.89	0	191
scaffold_22_region	56127	5325652	94.89	0	191
scaffold_23	53108	5434991	102.34	0	1051
scaffold_23_region	53108	5434991	102.34	0	1051
total	20549002	459368170	22.35	0	4226
total_region	20549002	459368170	22.35	0	4226
