chrom	length	bases	mean	min	max
scaffold_1	2175785	93023840	42.75	0	174
scaffold_1_region	2175785	93023840	42.75	0	174
scaffold_2	1611863	67843573	42.09	0	157
scaffold_2_region	1611863	67843573	42.09	0	157
scaffold_3	1471132	62247230	42.31	0	342
scaffold_3_region	1471132	62247230	42.31	0	342
scaffold_4	1468900	62173849	42.33	0	636
scaffold_4_region	1468900	62173849	42.33	0	636
scaffold_5	1396382	59217507	42.41	0	307
scaffold_5_region	1396382	59217507	42.41	0	307
scaffold_6	1286126	54650947	42.49	0	10731
scaffold_6_region	1286126	54650947	42.49	0	10731
scaffold_7	1265705	54042019	42.70	0	272
scaffold_7_region	1265705	54042019	42.70	0	272
scaffold_8	1247722	52731513	42.26	0	168
scaffold_8_region	1247722	52731513	42.26	0	168
scaffold_9	1034445	43402203	41.96	0	364
scaffold_9_region	1034445	43402203	41.96	0	364
scaffold_10	987275	42240235	42.78	0	426
scaffold_10_region	987275	42240235	42.78	0	426
scaffold_11	955579	41419273	43.34	0	1171
scaffold_11_region	955579	41419273	43.34	0	1171
scaffold_12	827188	35890380	43.39	0	132
scaffold_12_region	827188	35890380	43.39	0	132
scaffold_13	811507	34837854	42.93	0	86
scaffold_13_region	811507	34837854	42.93	0	86
scaffold_14	764887	32006133	41.84	0	833
scaffold_14_region	764887	32006133	41.84	0	833
scaffold_15	699649	29513202	42.18	0	83
scaffold_15_region	699649	29513202	42.18	0	83
scaffold_16	665637	28014109	42.09	0	268
scaffold_16_region	665637	28014109	42.09	0	268
scaffold_17	654850	28039494	42.82	0	130
scaffold_17_region	654850	28039494	42.82	0	130
scaffold_18	642743	27325918	42.51	0	4454
scaffold_18_region	642743	27325918	42.51	0	4454
scaffold_19	278999	11917373	42.71	0	88
scaffold_19_region	278999	11917373	42.71	0	88
scaffold_20	105456	10873517	103.11	0	241
scaffold_20_region	105456	10873517	103.11	0	241
scaffold_21	87937	100663281	1144.72	4	2356
scaffold_21_region	87937	100663281	1144.72	4	2356
scaffold_22	56127	7452053	132.77	0	231
scaffold_22_region	56127	7452053	132.77	0	231
scaffold_23	53108	6914854	130.20	0	1643
scaffold_23_region	53108	6914854	130.20	0	1643
total	20549002	986440357	48.00	0	10731
total_region	20549002	986440357	48.00	0	10731
