chrom	length	bases	mean	min	max
scaffold_1	2175785	146165699	67.18	0	2159
scaffold_1_region	2175785	146165699	67.18	0	2159
scaffold_2	1611863	98496483	61.11	0	612
scaffold_2_region	1611863	98496483	61.11	0	612
scaffold_3	1471132	93254310	63.39	0	716
scaffold_3_region	1471132	93254310	63.39	0	716
scaffold_4	1468900	93180118	63.44	0	844
scaffold_4_region	1468900	93180118	63.44	0	844
scaffold_5	1396382	84986033	60.86	0	464
scaffold_5_region	1396382	84986033	60.86	0	464
scaffold_6	1286126	79020499	61.44	0	18320
scaffold_6_region	1286126	79020499	61.44	0	18320
scaffold_7	1265705	81950872	64.75	0	698
scaffold_7_region	1265705	81950872	64.75	0	698
scaffold_8	1247722	76195820	61.07	0	673
scaffold_8_region	1247722	76195820	61.07	0	673
scaffold_9	1034445	62312359	60.24	0	517
scaffold_9_region	1034445	62312359	60.24	0	517
scaffold_10	987275	60892537	61.68	0	599
scaffold_10_region	987275	60892537	61.68	0	599
scaffold_11	955579	58107745	60.81	0	2224
scaffold_11_region	955579	58107745	60.81	0	2224
scaffold_12	827188	51165751	61.86	0	177
scaffold_12_region	827188	51165751	61.86	0	177
scaffold_13	811507	52482712	64.67	0	192
scaffold_13_region	811507	52482712	64.67	0	192
scaffold_14	764887	46716297	61.08	0	605
scaffold_14_region	764887	46716297	61.08	0	605
scaffold_15	699649	40309235	57.61	0	301
scaffold_15_region	699649	40309235	57.61	0	301
scaffold_16	665637	36470308	54.79	0	712
scaffold_16_region	665637	36470308	54.79	0	712
scaffold_17	654850	40565204	61.95	0	324
scaffold_17_region	654850	40565204	61.95	0	324
scaffold_18	642743	38514209	59.92	0	6452
scaffold_18_region	642743	38514209	59.92	0	6452
scaffold_19	278999	16042838	57.50	0	259
scaffold_19_region	278999	16042838	57.50	0	259
scaffold_20	105456	11655533	110.53	0	236
scaffold_20_region	105456	11655533	110.53	0	236
scaffold_21	87937	148214832	1685.47	8	3137
scaffold_21_region	87937	148214832	1685.47	8	3137
scaffold_22	56127	7967545	141.96	0	236
scaffold_22_region	56127	7967545	141.96	0	236
scaffold_23	53108	7894430	148.65	0	1355
scaffold_23_region	53108	7894430	148.65	0	1355
total	20549002	1432561369	69.71	0	18320
total_region	20549002	1432561369	69.71	0	18320
