chrom	length	bases	mean	min	max
scaffold_1	2175785	186567374	85.75	0	304
scaffold_1_region	2175785	186567374	85.75	0	304
scaffold_2	1611863	134878389	83.68	0	364
scaffold_2_region	1611863	134878389	83.68	0	364
scaffold_3	1471132	129585289	88.09	0	1973
scaffold_3_region	1471132	129585289	88.09	0	1973
scaffold_4	1468900	124331993	84.64	0	434
scaffold_4_region	1468900	124331993	84.64	0	434
scaffold_5	1396382	116583959	83.49	0	564
scaffold_5_region	1396382	116583959	83.49	0	564
scaffold_6	1286126	107865899	83.87	0	1967
scaffold_6_region	1286126	107865899	83.87	0	1967
scaffold_7	1265705	108798392	85.96	0	247
scaffold_7_region	1265705	108798392	85.96	0	247
scaffold_8	1247722	103030247	82.57	0	328
scaffold_8_region	1247722	103030247	82.57	0	328
scaffold_9	1034445	86929804	84.04	0	328
scaffold_9_region	1034445	86929804	84.04	0	328
scaffold_10	987275	85783068	86.89	0	465
scaffold_10_region	987275	85783068	86.89	0	465
scaffold_11	955579	79138461	82.82	0	492
scaffold_11_region	955579	79138461	82.82	0	492
scaffold_12	827188	71697601	86.68	0	192
scaffold_12_region	827188	71697601	86.68	0	192
scaffold_13	811507	70770861	87.21	0	222
scaffold_13_region	811507	70770861	87.21	0	222
scaffold_14	764887	65058454	85.06	0	280
scaffold_14_region	764887	65058454	85.06	0	280
scaffold_15	699649	58133099	83.09	0	262
scaffold_15_region	699649	58133099	83.09	0	262
scaffold_16	665637	55261965	83.02	0	675
scaffold_16_region	665637	55261965	83.02	0	675
scaffold_17	654850	57549259	87.88	0	232
scaffold_17_region	654850	57549259	87.88	0	232
scaffold_18	642743	55565727	86.45	0	922
scaffold_18_region	642743	55565727	86.45	0	922
scaffold_19	278999	23389498	83.83	0	184
scaffold_19_region	278999	23389498	83.83	0	184
scaffold_20	105456	21946356	208.11	0	472
scaffold_20_region	105456	21946356	208.11	0	472
scaffold_21	87937	177810949	2022.03	0	5361
scaffold_21_region	87937	177810949	2022.03	0	5361
scaffold_22	56127	15003968	267.32	0	482
scaffold_22_region	56127	15003968	267.32	0	482
scaffold_23	53108	15464657	291.19	0	3074
scaffold_23_region	53108	15464657	291.19	0	3074
total	20549002	1951145269	94.95	0	5361
total_region	20549002	1951145269	94.95	0	5361
