chrom	length	bases	mean	min	max
scaffold_1	2175785	395871011	181.94	0	2587
scaffold_1_region	2175785	395871011	181.94	0	2587
scaffold_2	1611863	281655554	174.74	0	38101
scaffold_2_region	1611863	281655554	174.74	0	38101
scaffold_3	1471132	270654162	183.98	0	3765
scaffold_3_region	1471132	270654162	183.98	0	3765
scaffold_4	1468900	265045643	180.44	0	131167
scaffold_4_region	1468900	265045643	180.44	0	131167
scaffold_5	1396382	243079068	174.08	0	1931
scaffold_5_region	1396382	243079068	174.08	0	1931
scaffold_6	1286126	229520975	178.46	0	30187
scaffold_6_region	1286126	229520975	178.46	0	30187
scaffold_7	1265705	230818630	182.36	0	85879
scaffold_7_region	1265705	230818630	182.36	0	85879
scaffold_8	1247722	217896253	174.64	0	652
scaffold_8_region	1247722	217896253	174.64	0	652
scaffold_9	1034445	178359756	172.42	0	8675
scaffold_9_region	1034445	178359756	172.42	0	8675
scaffold_10	987275	186575188	188.98	0	72508
scaffold_10_region	987275	186575188	188.98	0	72508
scaffold_11	955579	169371506	177.24	0	111533
scaffold_11_region	955579	169371506	177.24	0	111533
scaffold_12	827188	153032567	185.00	0	1271
scaffold_12_region	827188	153032567	185.00	0	1271
scaffold_13	811507	151103255	186.20	0	699
scaffold_13_region	811507	151103255	186.20	0	699
scaffold_14	764887	132940396	173.80	0	8388
scaffold_14_region	764887	132940396	173.80	0	8388
scaffold_15	699649	123591934	176.65	0	635
scaffold_15_region	699649	123591934	176.65	0	635
scaffold_16	665637	118660007	178.27	0	1551
scaffold_16_region	665637	118660007	178.27	0	1551
scaffold_17	654850	119249365	182.10	0	650
scaffold_17_region	654850	119249365	182.10	0	650
scaffold_18	642743	119183261	185.43	0	88765
scaffold_18_region	642743	119183261	185.43	0	88765
scaffold_19	278999	47715893	171.03	0	389
scaffold_19_region	278999	47715893	171.03	0	389
scaffold_20	105456	43912433	416.41	0	881
scaffold_20_region	105456	43912433	416.41	0	881
scaffold_21	87937	145570264	1655.39	0	3161
scaffold_21_region	87937	145570264	1655.39	0	3161
scaffold_22	56127	29813336	531.18	0	815
scaffold_22_region	56127	29813336	531.18	0	815
scaffold_23	53108	28747271	541.30	0	4127
scaffold_23_region	53108	28747271	541.30	0	4127
total	20549002	3882367728	188.93	0	131167
total_region	20549002	3882367728	188.93	0	131167
