chrom	length	bases	mean	min	max
scaffold_1	2175785	755137675	347.06	0	2250
scaffold_1_region	2175785	755137675	347.06	0	2250
scaffold_2	1611863	531087695	329.49	0	40842
scaffold_2_region	1611863	531087695	329.49	0	40842
scaffold_3	1471132	513648797	349.15	0	6561
scaffold_3_region	1471132	513648797	349.15	0	6561
scaffold_4	1468900	499320685	339.93	0	142292
scaffold_4_region	1468900	499320685	339.93	0	142292
scaffold_5	1396382	462124498	330.94	0	1987
scaffold_5_region	1396382	462124498	330.94	0	1987
scaffold_6	1286126	433469746	337.04	0	56535
scaffold_6_region	1286126	433469746	337.04	0	56535
scaffold_7	1265705	442162002	349.34	0	118335
scaffold_7_region	1265705	442162002	349.34	0	118335
scaffold_8	1247722	411761175	330.01	0	1185
scaffold_8_region	1247722	411761175	330.01	0	1185
scaffold_9	1034445	342146849	330.75	0	8436
scaffold_9_region	1034445	342146849	330.75	0	8436
scaffold_10	987275	344082877	348.52	0	90130
scaffold_10_region	987275	344082877	348.52	0	90130
scaffold_11	955579	321419178	336.36	0	136164
scaffold_11_region	955579	321419178	336.36	0	136164
scaffold_12	827188	288140295	348.34	0	1179
scaffold_12_region	827188	288140295	348.34	0	1179
scaffold_13	811507	285396507	351.69	0	1459
scaffold_13_region	811507	285396507	351.69	0	1459
scaffold_14	764887	255968323	334.65	0	5755
scaffold_14_region	764887	255968323	334.65	0	5755
scaffold_15	699649	231098106	330.31	0	1009
scaffold_15_region	699649	231098106	330.31	0	1009
scaffold_16	665637	213969898	321.45	0	2044
scaffold_16_region	665637	213969898	321.45	0	2044
scaffold_17	654850	227415611	347.28	0	951
scaffold_17_region	654850	227415611	347.28	0	951
scaffold_18	642743	222764515	346.58	0	118522
scaffold_18_region	642743	222764515	346.58	0	118522
scaffold_19	278999	94020601	336.99	0	748
scaffold_19_region	278999	94020601	336.99	0	748
scaffold_20	105456	76426589	724.72	0	1330
scaffold_20_region	105456	76426589	724.72	0	1330
scaffold_21	87937	324225354	3687.02	0	6620
scaffold_21_region	87937	324225354	3687.02	0	6620
scaffold_22	56127	51573500	918.87	0	1336
scaffold_22_region	56127	51573500	918.87	0	1336
scaffold_23	53108	49250468	927.36	0	5292
scaffold_23_region	53108	49250468	927.36	0	5292
total	20549002	7376610944	358.98	0	142292
total_region	20549002	7376610944	358.98	0	142292
